,NAMC_ID,NAMC_CODE,NAMC_term,NAMC__term_diacritical,NAMC__term_DEVANAGARI,short_definition,long_definition,ontology_branches,section
0,1,AYU,VYADHI-VINISCAYAH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,diagnostic conditions ,,,Ayurveda
1,2,DIS,VIKARAH,vikāraḥ,विकारः,disease/disorder ,,,Ayurveda
2,3,A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,दोषवैषम्यम्,derangement of dōṣa ,,,Ayurveda
3,4,AA,VATAVYADHIH,vātavyādhiḥ,वातव्याधिः,disorders due to vāta ,,,Ayurveda
4,5,AAA,DOSHAVASTHA (VATA),dōṣāvasthā (vāta),दोषावस्था (वात),morbid state of dōṣa ,,,Ayurveda
5,6,AAA-1,VATASANCAYAH,vātasañcayaḥ,वातसञ्चयः,accumulation of vāta ,impariment of movements of vāta in the kōṣṭha/stagnated bowel movements/paralytic ileus fullness of abdomen,,Ayurveda
6,7,AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,वातवृद्धिः,aggravation of vāta ,roughness of voice/hoarseness of voice emaciation blackish discoloration of body flickering/twitching in various parts of body desire for heat/warmth insomnia insufficient /decreased physical strength thick/compact stool trembling/tremors of body parts barborygmus with distention obstruction/retension of faeces diminution of physical strength impairment of sense organs excess talking/irrelevant speech/incoherent speech giddiness or dizziness timid or apathy pain in the bones decrease in or dryness of majja (bone marrow) obstruction to passage of feces abdominal distension gurgling sound of the intestines/barborygmus loss of conciousness confusion/delirium fear grief,,Ayurveda
7,8,AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,वातप्रकोपः,vitiation of vāta ,exhaustion/fatigue dislocation/prolapse expansion/dilatation obstruction/adherence breaking type of pain exhaustion or tirednes of body horripilation/bristling dryness of mouth/thirst tremors/trembling/shaking movement of vāta in opposite direction/circular movement of vāta pulsation (chakrapani) pricking pain uneasiness/agitation/feeling of discomfort abnormal movements roughness roughness in body conspicuousness /clear/perceivable porousness/hollowness slight reddish complexion of the body astringent taste in mouth tastelessness/upleasant taste in mouth dryness/wasting/emaciation sharp type of pain numbness/drowsiness contraction of body parts stiffness /rigidity limping,,Ayurveda
8,9,AAA-2.2,PRANAVATAKOPAH,prāṇavātakōpaḥ,प्राणवातकोपः,vitiated prāṇavāyu ,"hiccup breathlessness/difficult breathing impairment of sense organs viz. eye cold, catarrh facial paralysis thirst cough",,Ayurveda
9,10,AAA-2.3,UDANAVATAKOPAH,udānavātakōpaḥ,उदानवातकोपः,vitiated udānavāyu ,"choking of throat/stopping or lowering voice mental disturbance vomiting tastelessness cold, catarrh glandular swelling in jaw, neck and throat region /goitre diseases of body above collar bone/diseases of head and neck",,Ayurveda
10,11,AAA-2.4,VYANAVATAKOPAH,vyānavātakōpaḥ,व्यानवातकोपः,vitiated vyānavāyu ,decrease in virility/semen decrease/lack of enthusiasm/energy diminution of physical strength oedema excitement fever quadriplegia pricking type of pain horripilation numbness of body parts skin disease spreading cellulitis/erysipelas diseases affecting whole body,,Ayurveda
11,12,AAA-2.5,SAMANAVATAKOPAH,samānavātakōpaḥ,समानवातकोपः,vitiated samānavāyu ,palpable glandular enlargment in abdomen/abdominal lump diminution of agni (digestive power) diarrhoea colicky pain in the abdomen derangement of agni situated in grahaṇī diseases of/having origin in pakvāśaya diseases of/having origin in āmāśaya,,Ayurveda
12,13,AAA-2.6,APANAVATAKOPAH,apānavātakōpaḥ,अपानवातकोपः,vitiated apānavāyu ,diseases of pakvāśaya disorders of mūtra/urinary system disorders of semen haemorrhoids rectal prolapse,,Ayurveda
13,14,AAA-3,VATAPRASARANAM,vātaprasaraṇam,वातप्रसरणम्,spreading of vātadōṣa ,abnormal movements of vāyu gurgling sound of the intestines/barborygmus,,Ayurveda
14,15,AAA-4,VATAKSHAYAH,vātakṣayaḥ,वातक्षयः,depletion of vātadōṣa ,sluggishness in body activities reduced talking displeasure/discontent loss of consciousness exhaustion or tirednes to body /inability to perform physical activities reduced activities loss of investigating intelligence/loss of conciousness diseases due to increased kapha excessive salivation tastelessness nausea /palpitation of heart impairment of agni (digestive power),,Ayurveda
15,16,AAB,NANATMAJAVATAVIKARAH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,diseases due only to vitiated vāta ,,,Ayurveda
16,17,AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),अतिप्रलापः (केवलवात),delirium in excess (due only to vātadōṣa) ,incoherent speech meaningless/nonsensical speech,,Ayurveda
17,18,AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),अनवस्थितचित्तत्वम् (केवलवात),unstable state of mind (due only to vātadōṣa) ,,,Ayurveda
18,19,AAB-3,ANGAMARDAH (KEVALAVATA),aṅgamardaḥ (kēvalavāta),अङ्गमर्दः (केवलवात),generalized body ache (due only to vātadōṣa) ,,,Ayurveda
19,20,AAB-4,ANGASUSHKATA (KEVALAVATA),aṅgaśuṣkatā (kēvalavāta),अङ्गशुष्कता (केवलवात),wasting of body part(s) (due only to vātadōṣa) ,,,Ayurveda
20,21,AAB-5,ANGAVIBRAMSAH (KEVALAVATA),aṅgavibhraṁśaḥ (kēvalavāta),अङ्गविभ्रंशः (केवलवात),dislocation/laxity of body part(s) (due only to vātadōṣa) ,,,Ayurveda
21,22,AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),अर्दितः (केवलवात),facial paralysis (due only to vātadōṣa) ,,,Ayurveda
22,23,AAB-7,ARASAJNATA (KEVALAVATA),arasajñatā (kēvalavāta),अरसज्ञता (केवलवात),ageusia (due only to vātadōṣa) ,,,Ayurveda
23,24,AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),tinnitus (due only to vātadōṣa) ,,,Ayurveda
24,25,AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),insomnia (due only to vātadōṣa) ,,,Ayurveda
25,26,AAB-10,AKSHIBEDAH (KEVALAVATA),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),tearing pain of eye (due only to vātadōṣa) ,,,Ayurveda
26,27,AAB-11,AKSHIVYUDASAH (KEVALAVATA),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),ptosis of eye ball (due only to vātadōṣa) ,,,Ayurveda
27,28,AAB-12,AKSHISULAH (KEVALAVATA),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),piercing type of eye pain (due only to vātadōṣa) ,,,Ayurveda
