NAMC_ID,NAMC_CODE,TERM,TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
1,AYU,VYADHI-VINISCAYAH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,Ayurveda,XD9N16,Coronavirus (diagnostic),0.5168178046569768
1,AYU,VYADHI-VINISCAYAH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,Ayurveda,XM9320,Diagnostic radiopharmaceuticals,0.5168178046569768
1,AYU,VYADHI-VINISCAYAH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,Ayurveda,ME21,Clinical findings on diagnostic imaging of liver or biliary tract,0.5168178046569768
2,DIS,VIKARAH,vikāraḥ,विकारः,Ayurveda,BB9Z,"Pulmonary valve disease, unspecified",0.5628505624891307
2,DIS,VIKARAH,vikāraḥ,विकारः,Ayurveda,XN2JR,Kyasanur Forest disease virus,0.5628505624891307
2,DIS,VIKARAH,vikāraḥ,विकारः,Ayurveda,BB7Y,Other specified aortic valve disease,0.5628505624891307
3,A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,दोषवैषम्यम्,Ayurveda,SS38,Expulsive faculty derangement pattern (TM2),0.5252734255731477
3,A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,दोषवैषम्यम्,Ayurveda,SR4G,Derangement of Ojas pattern (TM2),0.5252734255731477
3,A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,दोषवैषम्यम्,Ayurveda,SS36,Retentive faculty derangement pattern (TM2),0.5252734255731477
4,AA,VATAVYADHIH,vātavyādhiḥ,वातव्याधिः,Ayurveda,5C64.4Z,"Disorders of magnesium metabolism, unspecified",0.43000847835058326
4,AA,VATAVYADHIH,vātavyādhiḥ,वातव्याधिः,Ayurveda,CB05.41,Respiratory disorders in microscopic polyangiitis,0.43000847835058326
4,AA,VATAVYADHIH,vātavyādhiḥ,वातव्याधिः,Ayurveda,CB05.40,Respiratory disorders in Churg-Strauss syndrome,0.43000847835058326
5,AAA,DOSHAVASTHA (VATA),dōṣāvasthā (vāta),दोषावस्था (वात),Ayurveda,SR14,Depletion of vata pattern (TM2),0.42400470848838245
5,AAA,DOSHAVASTHA (VATA),dōṣāvasthā (vāta),दोषावस्था (वात),Ayurveda,SR12,Aggravation of vata pattern (TM2),0.42217363978742545
5,AAA,DOSHAVASTHA (VATA),dōṣāvasthā (vāta),दोषावस्था (वात),Ayurveda,QC04.3,Immunization not carried out because of immune-compromised state of patient,0.41823302934570084
6,AAA-1,VATASANCAYAH,vātasañcayaḥ,वातसञ्चयः,Ayurveda,SF86,Turbid phlegm accumulation in the lung pattern (TM1),0.6313677062016018
6,AAA-1,VATASANCAYAH,vātasañcayaḥ,वातसञ्चयः,Ayurveda,SF79,Spleen deficiency with dampness accumulation pattern (TM1),0.6313677062016018
6,AAA-1,VATASANCAYAH,vātasañcayaḥ,वातसञ्चयः,Ayurveda,SR1B,Accumulation of kapha pattern (TM2),0.5654528551324519
7,AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,वातवृद्धिः,Ayurveda,SR1C,Aggravation of kapha pattern (TM2),0.5020434335250169
7,AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,वातवृद्धिः,Ayurveda,SR17,Aggravation of pitta pattern (TM2),0.4966168972637663
7,AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,वातवृद्धिः,Ayurveda,SR12,Aggravation of vata pattern (TM2),0.35377737522038194
8,AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,वातप्रकोपः,Ayurveda,SR10,Vitiation of vāta pattern (TM2),0.6431652660502156
8,AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,वातप्रकोपः,Ayurveda,SR1A,Vitiation of kapha pattern (TM2),0.4664960406615128
8,AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,वातप्रकोपः,Ayurveda,SR15,Vitiation of pitta pattern (TM2),0.4608496713558213
9,AAA-2.2,PRANAVATAKOPAH,prāṇavātakōpaḥ,प्राणवातकोपः,Ayurveda,SN11,Vitiated breast milk disorder (TM2),0.14424910153006715
