NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
1,SID,சித்தா,Siddha,Siddha,-,Siddha
2,DIS,நோய்,Disorder,Disorder,-,Siddha
3,A,வளர்சிதை மாற்ற நோய்கள்,Vaḷarcitai Māṟṟa Nōykaḷ,Metabolic disorders,-,Siddha
4,AA,கல்லீரல் நோய்,Kallīral Nōy,Hepatic disease,-,Siddha
5,AAA,வளி,Vaḷi,Hepatic disease classified under vali humour,-,Siddha
6,AAA1.1,வளி கல்லீரல் நோய்,Vaḷi Kallīral Nōy,"Hepatomegaly due to vali, if chronic leads to anaemia","It is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. It is explaine",Siddha
7,AAB,அழல்,Aẕal,Hepatic disease classified under azhal humour,-,Siddha
8,AAB1.1,அழல் கல்லீரல் நோய்,Aẕal Kallīral Nōy,"Hepatomegaly due to azhal, if chronic leads to ascites","It is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. It is explained by increased Aẕal influencing iyam and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect",Siddha
9,AAC,ஐயம்,Aiyam,Hepatic disease classified under iya humour,-,Siddha
10,AAC1,ஐய கல்லீரல் நோய்,Aiya Kallīral Nōy,"Hepatomegaly due to aiyam, and nodular liver on palpation","It is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. It is explained by increased Aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . Among the seven Uṭaṟ",Siddha
11,AB,மஞ்சள்,Mañcaḷ Nōy,Jaundice,-,Siddha
12,ABA,வளி,Vaḷi,Jaundice classified under vali humour,-,Siddha
13,ABA1.1,வளி மஞ்சள் நோய்,Vaḷi Mañcaḷ Nōy,Jaundice caused by increased by vali,"It is characterised by dyspepsia, peripheral oedema, emaciation of the body and eyes, diminished vision malaise, loss of appetite and sleep. It is explained by increased vali (vyanan ) influencing Aẕal. Among the seven Uṭaṟtātukkaḷ,Cāram and seneer gets",Siddha
14,ABA1.2,கும்ப மஞ்சள் நோய்,Kumpa Mañcaḷ Nōy,Jaundice with dysentery,"It is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, flagging like an garland, sleeps in a standing position as peacock, passes stools as in dysentery. It is explained by increased",Siddha
15,ABA1.3,வாத கப காமாலை,-,Jaundice due to increased vali and aiyam,"This is characterised by dyspepsia,Pallor of eyes & tongue,dyspnoea on exertion,clubbing of fingers,cough.This can be explained by deranged vali influences iyam affects samanan,udanan,vyanan. Among the seven udal thathukkal saram to seneer is affected.",Siddha
16,ABB,அழல்,Aẕal,Jaundice classified under azhal Humour,-,Siddha
17,ABB1.1,அழல் மஞ்சள் நோய்,Aẕal Mañcaḷ Nōy,Jaundice caused by increased azhal,"It is characterised by dryness of the skin, insomnia, dyspepsia, generalised bodyache, diarrhoea, borborygmus and weakness of extremities. It is explained by increased Aẕal influences iyam, increased vali ( abanan ,vyanan ).Among the seven Uṭaṟtātukkaḷ C",Siddha
18,ABB1.2,அழல் ஐய மஞ்சள் நோய்,Aẕal Aiya Mañcaḷ Nōy,Jaundice caused by increased azhal aiyam,"It is characterised by yellowish discoloration of the body, vomiting, headache, dysentery like milk, dyspepsia, anasarca and pallor of extremities.It is explained by increased Aẕal and iyam causing increased vali( vyanan). Among the seven Uṭaṟtātukkaḷ C",Siddha
19,ABB1.3,ஊதுமஞ்சள் நோய்,Ūtu Mañcaḷ Nōy,Jaundice with anasarca,"It is characterised by anasarca, mucus secretion in eyes, unctuous sweating and numbness . It is explained by increased Aẕal influencing Iyam and vali (vyanan). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.",Siddha
20,ABB1.4,வறட்டு மஞ்சள் நோய்,Vaṟaṭṭu Mañcaḷ Nōy,Jaundice with gait distutbances and night blindness,"It is characterised by shortening of both upper and lower limbs, difficulty in walking, passing blue coloured faeces, dysuria, burning micturition, tasteless, dimness of vision in the evening, blackish discoloration of the body. It is explained by decreas",Siddha
21,ABB1.5,பெரு மஞ்சள் நோய்,Peru Mañcaḷ Nōy,Jaundice with male sterility,"It is characterised by yellowish discoloration of urine, anasarca, yellowish discoloration of face, hands, feet and uvula, weight loss, depression, dyspnoea, impotence and constipation. It can be explained by deranged Aẕal influencing vali,affects vyanan,",Siddha
22,ABB1.6,அழகு மஞ்சள் நோய்,Aẕaku Mañcaḷ Nōy,Jaundice with urethritis,"It is characterised by yellowish discoloration of urine, greenish hue as that of a bonduc nut of eyes and eyebrows, dysuria and dyspepsia and increased body heat.It is explained by increased Aẕal and iyam and decreased vali (vyanan,abanan). Among the s",Siddha
23,ABB1.7,செங்கமல மஞ்சள் நோய்,Ceṅkamala Mañcaḷ Nōy,Jaundice with cardiac dysfunction,"It is characterised by yellowish hue in uvula, tongue, saliva becomes yellowish hue, cardiac dysfunction, malaise, decreased and concentrated urine, pallor of nails, emaciation followed by fever, It is explained by increased Aẕal and iyam and vali (udanan",Siddha
24,ABC,ஐயம்,Aiyam,Jaundice classified under aiyam humour,-,Siddha
25,ABC1.1,ஐய மஞ்சள் நோய்,Aiya Mañcaḷ Nōy,Jaundice due to aiyam,"It is characterised by generalised icterus, continuous cough, sweating in the forehead, difficulty in walking, giddiness on intake of betelnut, dyspnoea on exertion, rigor, heaviness of the chest. It is explained by increased iyam , Aẕal followed by vali",Siddha
26,ABC1.2,குன்ம மஞ்சள் நோய்,Kuṉma Mañcaḷ Nōy,Jaundice with dysentery,"This is characterised by pallor of eyes, greenish hue in the eyes, yellowish discoloration of urine and broth-like consistency.Abdominal pain precedes before vomitting at the time of digestion of food. Anosmia, frequent wheeze , dyspnoea and cough, sleeps",Siddha
27,ABD,முக்குற்றம்,Mukkuṟṟam,-,-,Siddha
28,ABD1.1,தொந்த காமாலை,-,Jaundice due to mukuttram,"This is characterised by burning sensation all over the body,malaise,frequent cough,bodyache,sour taste in the tongue, rigor,distention of lower abdomen.This can be explained by deranged mukkutram affects vyanan,udanan.Among the seven udal thathukkal sara",Siddha
29,AC,மண்ணீரல் மஞ்சள் நோய்,Maṇṇīral Nōy,Spleen disease,-,Siddha
30,ACA,வளி,Vaḷi,Spleen disease classified under vali humour,-,Siddha
31,ACA1.1,வளி மண்ணீரல் நோய்,Vaḷi Maṇṇīral Nōy,"Spleenomegaly due to vali, if chronic leads to ascites","It is characterized by enlargement of abdomen, engorged veins over the abdomen with greenish hue, dislike to eat, bitter taste in the tongue, frequent fever, blackish discoloration of face or whole body, borborygmus, muscle wasting in extremities, constip",Siddha
32,ACB,அழல்,Aẕal,Spleen disease classified under azhal humour,-,Siddha
33,ACB1.1,அழல் மண்ணீரல் நோய்,Aẕal Maṇṇīral Nōy,Spleenomegaly due to azhal with massive enlargement,"It is characterized by icterus, spleenomegaly, hypersalivation, bitter taste in the tongue, hatred towards food, bilious vomiting, diarrhoea and frequent giddiness. It is explained by increased Aẕal and vali (udanan,vyanan,abanan). Among the seven Uṭaṟtā",Siddha
34,ACC,ஐயம்,Aiyam,Spleen disease classified under aiyam humour,-,Siddha
35,ACC1.1,ஐய மண்ணீரல் நோய்,Aiya Maṇṇīral Nōy,Spleenomegaly due to aiyam with intermittent fever,"It is characterized by malaise, pallor, peripheral oedema.Engorged veins and varicose veins.If chronic,intermittent fever,bedridden,emaciation ,decreased blood volume and fatal. This can be explained by deranged Iyam influences Aẕal affects vyanan,abanan",Siddha
36,ACD,முக்குற்றம்,Mukkuṟṟam,Spleen disease classified under mukkutram humour,-,Siddha
37,ACD1.1,முக்குற்ற மண்ணீரல் நோய்,Mukkuṟṟa Maṇṇīral Nōy,"Spleenomegaly due to mukuttram,may be fatal","It is characterized by signs and symptoms of vali, Aẕal and iya manneeral noi, massive spleenomegaly, health deteriorates leading to sudden death. It is explained by increased vali, Aẕal and iyam . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ ,Koẕup",Siddha
38,AD,நீர் வேட்கை நோய்,Nīr Vēṭkai Nōy,Thirst disease,-,Siddha
39,ADA,வளி,Vaḷi,Thirst disease classified under vali humour,-,Siddha
40,ADA1.1,வளி நீர் வேட்கை நோய்,Vaḷi Nīr Vēṭkai Nōy,Severe thirst due to vali,"It is characterised by morbid thirst, blackish discoloration of the body, tasteless, deafness, increased sleepiness and decreased vigour. It is explained by increased vali ( udanan,vyanan ) and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets af",Siddha
41,ADB,அழல்,Aẕal,Thirst disease classified under azhal humour,-,Siddha
42,ADB1.1,அழல் நீர் வேட்கை நோய்,Aẕal Nīr Vēṭkai Nōy,Thirst due to azhal,"It is characterised by increased body temperature, dryness of tongue, pricking pain and redness in uvula,palate.throat and tongue, burning sensation of tongue. It is explained by increased Aẕal and vali (udanan,vyanan). Among the seven Uṭaṟtātukkaḷ Cāra",Siddha
43,ADB1.2,இரச நீர் வேட்கை நோய்,Iraca Nīr Vēṭkai Nōy,Thirst during conversion of Cāram to blood may lead to fatal,"It is characterised by increased thirst, dryness of mouth due to haemorrhage, loss of intelligence and dyspnoea. It is explained by increased Aẕal, vali (udanan) and iyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.",Siddha
44,ADC,ஐயம்,Aiyam,Thirst disease classified under aiyam humour,-,Siddha
45,ADC1.1,ஐய நீர் வேட்கை நோய்,Aiya Nīr Vēṭkai Nōy,Thirst due to aiyam,"It is characterised by obstruction in the throat, sweet taste in the tongue, dyspepsia, anorexia and ageusia. It is explained by increased iyam and decreased Aẕal and vali ( udanan ). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.",Siddha
46,ADC1.2,செரியா நீர் வேட்கை நோய்,Ceriyā Nīr Vēṭkai Nōy,Thirst due to dyspepsia.,"This is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . This can be explained by deranged Iyam influences Aẕal affects udanan. Among the seven Uṭaṟtātukkaḷ,Cāram to s",Siddha
47,ADD,முக்குற்றம்,Mukkuṟṟam,Thirst disease classified under mukkutram humour,-,Siddha
