NAMC_ID,NAMC_CODE,NAMC_TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
2,DIS,Disorder,நோய்,Siddha,SM97,Hypomenorrhoea disorder (TM2),1.0
2,DIS,Disorder,நோய்,Siddha,SK9A,Adenoiditis disorder (TM2),1.0
2,DIS,Disorder,நோய்,Siddha,SP5B,Consumptive disorder (TM2),1.0
3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Siddha,5D2Z,"Metabolic disorders, unspecified",0.563405985327042
3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Siddha,SP6Z,"Metabolic disorders (TM2), unspecified",0.563405985327042
3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Siddha,3A03,Other nutritional or metabolic anaemias,0.4911872044000098
4,AA,Kallīral Nōy,கல்லீரல் நோய்,Siddha,DB98.6,Hepatic veno-occlusive disease,0.753269654255193
4,AA,Kallīral Nōy,கல்லீரல் நோய்,Siddha,XA5AP2,Hepatic artery,0.6754193944021326
4,AA,Kallīral Nōy,கல்லீரல் நோய்,Siddha,XA4YZ0,Hepatic plexus,0.6754193944021326
5,AAA,Vaḷi,வளி,Siddha,DB98.6,Hepatic veno-occlusive disease,0.7499061103101943
5,AAA,Vaḷi,வளி,Siddha,XA2UD7,Hepatic Vein,0.6724034720142564
5,AAA,Vaḷi,வளி,Siddha,XA8C72,Proper hepatic artery,0.6724034720142564
6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,Siddha,MA01.0,Localised lymph node enlargement,0.4017377919421114
6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,Siddha,XA7N26,Inguinal lymph node,0.3897336236459317
6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,Siddha,MA01.1,Generalised lymph node enlargement,0.3704760424352186
7,AAB,Aẕal,அழல்,Siddha,DB98.6,Hepatic veno-occlusive disease,0.7473762400251038
7,AAB,Aẕal,அழல்,Siddha,DB93.0,Hepatic fibrosis,0.6701350632894137
7,AAB,Aẕal,அழல்,Siddha,DB99.5,Hepatic encephalopathy,0.6701350632894137
8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,Siddha,MG30.51,Chronic peripheral neuropathic pain,0.2885360077060436
8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,Siddha,ME10.0,Hepatomegaly or splenomegaly,0.2648685201279787
8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,Siddha,ME10.02,Hepatomegaly with splenomegaly,0.2648685201279787
9,AAC,Aiyam,ஐயம்,Siddha,DB98.6,Hepatic veno-occlusive disease,0.6641917243304565
9,AAC,Aiyam,ஐயம்,Siddha,XA4YZ0,Hepatic plexus,0.5955476497427117
9,AAC,Aiyam,ஐயம்,Siddha,XA8C72,Proper hepatic artery,0.5955476497427117
10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,Siddha,ME10.02,Hepatomegaly with splenomegaly,0.4518902729786179
10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,Siddha,ME10.0,Hepatomegaly or splenomegaly,0.4518902729786179
10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,Siddha,ME10.00,"Hepatomegaly, not elsewhere classified",0.4177260796635285
11,AB,Mañcaḷ Nōy,மஞ்சள்,Siddha,ME10.1,Unspecified jaundice,0.6848418143864339
11,AB,Mañcaḷ Nōy,மஞ்சள்,Siddha,SM41,Jaundice disorder (TM2),0.5077364389046503
11,AB,Mañcaḷ Nōy,மஞ்சள்,Siddha,SA01,Jaundice disorder (TM1),0.5077364389046503
12,ABA,Vaḷi,வளி,Siddha,ME10.1,Unspecified jaundice,0.6185194099024826
12,ABA,Vaḷi,வளி,Siddha,XA3518,Aqueous humour,0.5463265429894644
12,ABA,Vaḷi,வளி,Siddha,SM41,Jaundice disorder (TM2),0.4585655197743036
