NUMC_ID,NUMC_CODE,NAMC_TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
0,O-6,Ruṭūbat Gharīziyya,رطوبت غریزیہ,Unani,SG1Z,"Organ system patterns (TM1), unspecified",0.3726537979003742
0,O-6,Ruṭūbat Gharīziyya,رطوبت غریزیہ,Unani,QB12.0,Organ transplant candidate,0.3726537979003742
0,O-6,Ruṭūbat Gharīziyya,رطوبت غریزیہ,Unani,SG1Y,Other specified organ system patterns (TM1),0.3726537979003742
1,UM,-,-,Unani,SJ1Z,"Traditional medicine patterns (TM1), unspecified",0.7469249154882037
1,UM,-,-,Unani,SJ1Y,Other specified traditional medicine patterns (TM1),0.7469249154882037
1,UM,-,-,Unani,SE5Z,"Traditional medicine disorders (TM1), unspecified",0.5823619705175267
2,UM-DIS,-,-,Unani,SB4Z,"Furuncle disorders (TM1), unspecified",1.0
2,UM-DIS,-,-,Unani,8A05.Z,"Tic disorders, unspecified",1.0
2,UM-DIS,-,-,Unani,FA32.1,Patellofemoral disorders,1.0
3,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,امراض نظام اعصاب و دماغ,Unani,8E7Y,Other specified diseases of the nervous system,0.48285660499246297
3,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,امراض نظام اعصاب و دماغ,Unani,8E7Z,"Diseases of the nervous system, unspecified",0.48285660499246297
3,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,امراض نظام اعصاب و دماغ,Unani,XA7EA2,Parasympathetic nervous system,0.42383306745979066
4,A-1,Bayḍa-o-Khūdha,بيضہ و خوذہ,Unani,XA20Q1,Head,0.38975515374940944
4,A-1,Bayḍa-o-Khūdha,بيضہ و خوذہ,Unani,XA0K77,Fibular head,0.38975515374940944
4,A-1,Bayḍa-o-Khūdha,بيضہ و خوذہ,Unani,XA2N25,Radial head,0.38975515374940944
5,A-2,Shaqīqa,شقيقہ,Unani,MD90,Nausea or vomiting,0.32501238684807143
5,A-2,Shaqīqa,شقيقہ,Unani,LA83,Right isomerism,0.31214588215102074
5,A-2,Shaqīqa,شقيقہ,Unani,XK9K,Right,0.31214588215102074
6,A-2.1,Shaqīqa Ḥārra,شقيقہ حارہ,Unani,8A80,Migraine,0.6285356835082843
6,A-2.1,Shaqīqa Ḥārra,شقيقہ حارہ,Unani,8A80.0,Migraine without aura,0.6285356835082843
6,A-2.1,Shaqīqa Ḥārra,شقيقہ حارہ,Unani,8A80.1,Migraine with aura,0.6285356835082843
7,A-2.2,Shaqīqa Bārida,شقيقہ باردہ,Unani,8A80.2,Chronic migraine,0.6484335278501667
7,A-2.2,Shaqīqa Bārida,شقيقہ باردہ,Unani,8A80.0,Migraine without aura,0.6384014509069755
7,A-2.2,Shaqīqa Bārida,شقيقہ باردہ,Unani,8A80,Migraine,0.6384014509069755
8,A-3,‘Iṣāba,عصابہ,Unani,XA78D2,Eyebrow hairs,0.2765911820630239
8,A-3,‘Iṣāba,عصابہ,Unani,XA1LZ5,Eyebrow,0.2765911820630239
8,A-3,‘Iṣāba,عصابہ,Unani,XA0CA3,Frontal venous lacunae,0.26281387353408275
9,A-4,Ḥiss-i-Dimāgh,حس دماغ,Unani,MB28.F,Sensation seeking,0.3658470968036821
9,A-4,Ḥiss-i-Dimāgh,حس دماغ,Unani,LA05.7,Brain cystic malformations,0.3241815343759143
9,A-4,Ḥiss-i-Dimāgh,حس دماغ,Unani,XA9738,Brain,0.3241815343759143
10,A-5,Sarsām,سرسام,Unani,2A00.0Z,"Gliomas of brain, unspecified",0.5622907088897396
10,A-5,Sarsām,سرسام,Unani,2A00.4,Astroblastoma of the brain,0.5622907088897396
10,A-5,Sarsām,سرسام,Unani,LA05.7,Brain cystic malformations,0.5622907088897396
11,A-5.1,Sarsām Damawī/ Qarānīṭus,سرسام دموي/ قرانیطس,Unani,XA0AK4,Meninges,0.3775186251172114
11,A-5.1,Sarsām Damawī/ Qarānīṭus,سرسام دموي/ قرانیطس,Unani,1C1C.0,Meningococcal meningitis,0.3637431306780991
11,A-5.1,Sarsām Damawī/ Qarānīṭus,سرسام دموي/ قرانیطس,Unani,1F51.10,Meningitis in Rhodesiense trypanosomiasis,0.3637431306780991
12,A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,سرسام صفراوي/قرانیطس خالص,Unani,XA0AK4,Meninges,0.35295900944650355
12,A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,سرسام صفراوي/قرانیطس خالص,Unani,1F51.10,Meningitis in Rhodesiense trypanosomiasis,0.3400796849619029
12,A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,سرسام صفراوي/قرانیطس خالص,Unani,1F51.00,Meningitis in Gambiense trypanosomiasis,0.3400796849619029
13,A-5.3,Sarsām Sawdāwī,سرسام سوداوي,Unani,XA0AK4,Meninges,0.41459481682915983
13,A-5.3,Sarsām Sawdāwī,سرسام سوداوي,Unani,1C8E.2,Meningitis due to adenovirus,0.39946642788691455
13,A-5.3,Sarsām Sawdāwī,سرسام سوداوي,Unani,1C1C.0,Meningococcal meningitis,0.39946642788691455
14,A-5.4,Sarsām Balghamī/ Lītharghus,سرسام بلغمي/ لیثرغس,Unani,XA0AK4,Meninges,0.38155764616856785
14,A-5.4,Sarsām Balghamī/ Lītharghus,سرسام بلغمي/ لیثرغس,Unani,1D01.1,Fungal meningitis,0.367634769565158
14,A-5.4,Sarsām Balghamī/ Lītharghus,سرسام بلغمي/ لیثرغس,Unani,1C8E.Z,"Viral meningitis, unspecified",0.367634769565158
15,A-5.5,Sarsām Ḥaqīqī,سرسام حقيقي,Unani,XA0AK4,Meninges,0.668334883596449
15,A-5.5,Sarsām Ḥaqīqī,سرسام حقيقي,Unani,2A01,Primary neoplasms of meninges,0.4942748386578547
15,A-5.5,Sarsām Ḥaqīqī,سرسام حقيقي,Unani,2D51,Malignant neoplasm metastasis in meninges,0.4849750471536564
16,A-5.6,Sarsām Ghayr Ḥaqīqī,سرسام غير حقيقي,Unani,8E40.2,Inflammatory meningitis,0.32933920132004285
16,A-5.6,Sarsām Ghayr Ḥaqīqī,سرسام غير حقيقي,Unani,2A00.4,Astroblastoma of the brain,0.31179924797635433
